id,Name,Minimum players,Maximum players,Average game time,Year released,Mechanics,Category,Designer,More info URL
2078,The Korean War,1,2,960,1986,"Hex-and-Counter, Simulation","Korean War, Modern Warfare, Wargame",Joseph M. Balkoski,https://boardgamegeek.com/boardgame/7349/korean-war
2125,Battle Hymn,1,1,240,1986,Hex-and-Counter,"Wargame, World War II","Joseph Reiser, Eric Lee Smith",https://boardgamegeek.com/boardgame/1666/battle-hymn
2349,Thunder Road,2,4,45,1986,"Dice Rolling, Modular Board, Roll / Spin and Move","Fighting, Racing, Science Fiction",Jim Keifer,https://boardgamegeek.com/boardgame/804/thunder-road
2357,Fireball Island,2,4,45,1986,"Hand Management, Roll / Spin and Move","Action / Dexterity, Adventure, Children's Game, Racing","ANJAR, Chuck Kennedy, Bruce Lund",https://boardgamegeek.com/boardgame/1768/fireball-island
2905,Ace of Aces: Handy Rotary Deluxe Edition,2,2,20,1986,"Simulation, Simultaneous Action Selection","Aviation / Flight, Wargame, World War I",Alfred Leonardi,https://boardgamegeek.com/boardgame/7118/ace-aces-handy-rotary-deluxe-edition
3107,Orchard,2,8,10,1986,"Co-operative Play, Dice Rolling","Children's Game, Dice",Anneliese Farkaschovsky,https://boardgamegeek.com/boardgame/5770/orchard
3287,BattleTech: CityTech,2,6,90,1986,"Dice Rolling, Hex-and-Counter, Variable Player Powers","Miniatures, Science Fiction, Wargame","L. Ross Babcock, III, Forest Brown, Tara Gallagher, Sam Lewis, Mike Nystul, Bryan Nystul, Jordan Weisman, Wm. John Wheeler",https://boardgamegeek.com/boardgame/6923/battletech-citytech
3343,Persian Gulf: Battle for the Middle East,2,2,300,1986,"Hex-and-Counter, Simulation","Modern Warfare, Wargame","John Astell, Frank Chadwick",https://boardgamegeek.com/boardgame/2580/persian-gulf-battle-middle-east
3438,Chase,2,2,45,1986,Grid Movement,"Abstract Strategy, Dice",Tom Kruszewski,https://boardgamegeek.com/boardgame/316/chase
3506,6-Tage Rennen,3,8,60,1986,none,"Racing, Sports",Walter Toncar,https://boardgamegeek.com/boardgame/515/6-tage-rennen
3538,Max,1,8,20,1986,"Area Movement, Co-operative Play, Roll / Spin and Move","Animals, Children's Game, Racing",Jim Deacove,https://boardgamegeek.com/boardgame/4637/max
3891,Eastern Front Tank Leader,2,2,90,1986,"Campaign / Battle Card Driven, Hex-and-Counter","Wargame, World War II","Eric Goldberg, Guy Hail, John Hill (I)",https://boardgamegeek.com/boardgame/6226/eastern-front-tank-leader
3910,Air & Armor,2,2,120,1986,"Action Point Allowance System, Hex-and-Counter, Simulation","Modern Warfare, Wargame",Bruce S. Maxwell,https://boardgamegeek.com/boardgame/6431/air-armor
4067,Flight Leader,2,8,90,1986,"Hex-and-Counter, Simulation, Variable Phase Order","Aviation / Flight, Modern Warfare, Wargame",Gary C. Morgan,https://boardgamegeek.com/boardgame/3711/flight-leader
4338,Federation & Empire,2,8,300,1986,Hex-and-Counter,"Science Fiction, Wargame",Stephen V. Cole,https://boardgamegeek.com/boardgame/36/federation-empire
4446,The Emperor Returns,1,3,240,1986,Hex-and-Counter,"Napoleonic, Wargame",Kevin Zucker,https://boardgamegeek.com/boardgame/5698/emperor-returns
4472,Ancients,2,2,60,1986,Hex-and-Counter,"Ancient, Medieval, Print & Play, Wargame",William L. Banks,https://boardgamegeek.com/boardgame/1782/ancients
4850,Shanghai Trader,3,6,240,1986,"Tile Placement, Trading","Economic, Political","Steve Barnes (I), Dave O'Connor, Steve Utick, Peter Wyche",https://boardgamegeek.com/boardgame/796/shanghai-trader
